weather_main,recommendation
Clear,"El cielo está despejado, es un buen momento para disfrutar al aire libre."
Clouds,"El cielo está nublado, podrías necesitar una chaqueta ligera."
Tornado,"Hay un tornado en la zona, busca refugio de inmediato."
Squall,"Se esperan ráfagas de viento fuertes, ten cuidado si estás afuera."
Ash,"Caída de ceniza volcánica, usa mascarilla y evita salir si es posible."
Dust,"Hay polvo en el aire, considera usar una mascarilla si tienes problemas respiratorios."
Sand,"Tormenta de arena, es mejor quedarse en interiores hasta que pase."
Fog,"Hay niebla, maneja con precaución y usa las luces antiniebla."
Haze,"El aire está brumoso, la visibilidad es limitada, ten cuidado al conducir."
Smoke,"El aire está lleno de humo, trata de permanecer en interiores si puedes."
Mist,"Hay neblina en el ambiente, la visibilidad podría ser reducida."
Snow,"Está nevando, abrígate bien y ten cuidado con el hielo en las carreteras."
Rain,"Está lloviendo, no olvides llevar un paraguas o impermeable."
Drizzle,"Está lloviznando, podrías necesitar un paraguas ligero."
Thunderstorm,"Tormenta eléctrica en la zona, evita estar al aire libre y mantente en un lugar seguro."
