code,,state
AAA,PF,
AAB,AU,Queensland
AAC,EG,Muhafazat Shamal Sina'
AAD,SO,
AAE,DZ,Annaba
AAF,US,Florida
AAG,BR,Parana
AAH,DE,
AAI,BR,Goias
AAJ,SR,Sipaliwini
AAK,KI,
AAL,DK,North Denmark
AAM,ZA,
AAN,AE,
AAO,VE,Anzoategui
AAP,US,
AAQ,RU,Krasnodarskiy
AAR,DK,Central Jutland
AAS,ID,
AAT,CN,Xinjiang Uygur Zizhiqu
AAU,WS,Vaisigano
AAV,PH,South Cotabato
AAW,PK,Khyber Pakhtunkhwa
AAX,BR,Minas Gerais
AAY,YE,Al Mahrah
AAZ,GT,Quetzaltenango
ABA,RU,Khakasiya
ABB,NG,
ABC,ES,
ABD,IR,Khuzestan
ABE,US,Pennsylvania
ABF,KI,Gilbert Islands
ABG,AU,
ABH,AU,
ABI,US,
ABJ,CI,Lagunes
ABK,ET,
ABL,US,
ABM,AU,
ABN,SR,
ABO,CI,Sud-Comoe
ABP,PG,
ABQ,US,New Mexico
ABR,US,South Dakota
ABS,EG,
ABT,SA,Mintaqat al Bahah
ABU,ID,East Nusa Tenggara
ABV,NG,Abuja Federal Capital Territory
ABW,PG,
ABX,AU,New South Wales
ABY,US,
ABZ,GB,Scotland
ACA,MX,Guerrero
ACB,US,Michigan
ACC,GH,Greater Accra
ACD,CO,
ACE,ES,Canary Islands
ACF,CN,Xinjian Autonomous Region
ACH,CH,Saint Gallen
ACI,GB,Lower Normandy
ACJ,LK,North Central
ACK,US,Massachusetts
ACL,CO,Casanare
ACM,CO,Loreto
ACN,MX,
ACO,CR,Puntarenas Province
ACP,IR,East Azerbaijan
ACR,CO,
ACS,RU,Krasnoyarskiy
ACT,US,Texas
ACU,PA,Colon
ACV,US,California
ACX,CN,Guangxi Zhuangzu Zizhiqu
ACY,US,New Jersey
ACZ,IR,Sistan and Baluchestan
ADA,TR,Adana
ADB,TR,
ADC,PG,
ADD,ET,Adis Abeba
ADE,YE,Aden
ADF,TR,Adiyaman
ADG,US,Michigan
ADH,RU,Sakha
ADI,NA,Erongo
ADJ,JO,Amman
ADK,US,
ADL,AU,South Australia
ADM,US,Oklahoma
ADN,CO,Antioquia
ADO,AU,
ADP,LK,
ADQ,US,
ADR,US,South Carolina
ADS,US,Texas
ADT,US,Oklahoma
ADU,IR,Ardabil
ADV,SD,Eastern Darfur
ADW,US,Maryland
ADX,GB,Scotland
ADY,ZA,
ADZ,CO,"Archipielago de San Andres, Providencia y Santa Catalina"
AEA,KI,
AEB,CN,Guangxi Zhuangzu Zizhiqu
AED,US,
AEE,SS,
AEG,ID,North Sumatra
AEH,TD,Ouaddai
AEI,ES,Andalusia
AEK,PG,
AEL,US,Minnesota
AEM,RU,
AEO,MR,
AEP,AR,Buenos Aires F.D.
AEQ,CN,Inner Mongolia
AER,RU,Krasnodarskiy
AES,NO,More og Romsdal
AET,US,
AEU,IR,
AEX,US,Louisiana
AEY,IS,Northeast
AFA,AR,Mendoza
AFD,ZA,
AFF,US,Colorado
AFI,CO,Antioquia
AFK,LK,
AFL,BR,
AFN,US,New Hampshire
AFO,US,Wyoming
AFR,PG,
AFS,UZ,Navoiy
AFT,SB,
AFW,US,Texas
AFY,TR,Afyonkarahisar
AFZ,IR,Razavi Khorasan
AGA,MA,Souss-Massa-Draa
AGB,DE,Bavaria
AGC,US,Pennsylvania
AGD,ID,West Papua
AGE,DE,Lower Saxony
AGF,FR,Aquitaine
AGG,PG,
AGH,SE,
AGI,SR,Nickerie
AGJ,JP,
AGK,PG,
AGL,PG,
AGM,GL,
AGN,US,
AGO,US,Arkansas
AGP,ES,
AGQ,GR,West Greece
AGR,IN,Uttar Pradesh
AGS,US,
AGT,PY,Alto Parana
AGU,MX,Aguascalientes
AGV,VE,Portuguesa
AGW,AU,
AGX,IN,Laccadives
AGZ,ZA,Northern Cape
AHA,JP,
AHB,SA,
AHC,US,California
AHD,US,Oklahoma
AHE,PF,
AHF,US,Nebraska
AHH,US,Wisconsin
AHI,ID,Maluku
AHJ,CN,Sichuan
AHL,GY,
AHM,US,Oregon
AHN,US,Georgia
AHO,IT,Sardinia
AHS,HN,Gracias a Dios
AHU,MA,Taza-Al Hoceima-Taounate
AHW,OM,
AHY,MG,
AHZ,FR,Rhone-Alpes
AIA,US,Nebraska
AIC,MH,
AID,US,Indiana
AIE,PG,
AIF,BR,Sao Paulo
AIG,CF,
AIH,PG,
AII,DJ,Ali Sabieh
AIK,US,South Carolina
AIL,PA,Guna Yala
AIM,MH,
AIN,US,
AIO,US,Iowa
AIP,MH,
AIR,BR,
AIS,KI,Niutao
AIT,CK,
AIU,CK,
AIV,US,Alabama
AIW,NA,
AIY,US,
AIZ,US,
AJA,FR,Corsica
AJF,SA,Al Jawf
AJI,TR,Agri
AJJ,MR,Inchiri
AJK,IR,Markazi
AJL,IN,Mizoram
AJN,KM,Anjouan
AJR,SE,Norrbotten
AJS,MX,Baja California Sur
AJU,BR,Sergipe
AJY,NE,Agadez
AKA,CN,Shaanxi
AKB,US,
AKC,US,Ohio
AKD,IN,Maharashtra
AKE,GA,
AKF,LY,Al Kufrah
AKG,PG,
AKH,SA,Ar Riyad
AKI,US,
AKJ,JP,Hokkaido
AKK,US,
AKL,NZ,Auckland
AKM,TD,
AKN,US,
AKO,US,Colorado
AKP,US,
AKQ,ID,Lampung
AKR,NG,Ondo
AKS,SB,
AKT,CY,Larnaka
AKU,CN,
AKV,CA,
AKW,IR,Khuzestan
AKX,KZ,Aqtoebe
AKY,MM,
ALA,KZ,Almaty Oblysy
ALB,US,New York
ALC,ES,
ALD,PE,
ALE,US,Texas
ALF,NO,Finnmark Fylke
ALG,DZ,Alger
ALH,AU,Western Australia
ALI,US,Texas
ALJ,ZA,
ALK,ET,Oromiya
ALL,IT,Liguria
ALM,US,New Mexico
ALN,US,Illinois
ALO,US,Iowa
ALP,SY,Aleppo
ALQ,BR,Rio Grande do Sul
ALR,NZ,
ALS,US,Colorado
ALT,BR,Para
ALU,SO,Bari
ALW,US,Washington
ALX,US,Alabama
ALY,EG,
ALZ,US,
AMA,US,
AMB,MG,Diana
AMC,TD,Salamat
AMD,IN,Gujarat
AME,MZ,
AMF,PG,
AMG,PG,
AMH,ET,"Southern Nations, Nationalities, and People's Region"
AMI,ID,West Nusa Tenggara
AMJ,BR,Minas Gerais
AMK,US,
AML,PA,Chiriqui
AMM,JO,Amman
AMN,US,Michigan
AMO,TD,Kanem
AMP,MG,Atsimo-Andrefana
AMQ,ID,Maluku
AMR,MH,
AMS,NL,North Holland
AMT,AU,
AMU,PG,
AMV,RU,Komi Republic
AMW,US,Iowa
AMX,AU,
AMY,MG,
AMZ,NZ,Auckland
ANA,US,California
ANB,US,Alabama
ANC,US,
AND,US,South Carolina
ANE,FR,
ANF,CL,Antofagasta
ANG,FR,Poitou-Charentes
ANH,SB,
ANI,US,
ANJ,CG,
ANK,TR,Ankara
ANL,AO,Bie
ANM,MG,Sava
ANN,US,
ANO,MZ,
ANP,US,Maryland
ANQ,US,Indiana
ANR,BE,Flanders
ANS,PE,Apurimac
ANT,AT,Tyrol
ANU,AG,Saint Peter
ANV,US,
ANW,US,Nebraska
ANX,NO,Nordland
ANY,US,Kansas
ANZ,AU,
AOA,PG,
AOB,PG,
AOC,DE,Thuringia
AOD,TD,
AOE,TR,
AOG,CN,Liaoning
AOH,US,Ohio
AOI,IT,The Marches
AOJ,JP,
AOK,GR,South Aegean
AOL,AR,Corrientes
AOM,OM,
AON,PG,
AOO,US,Pennsylvania
AOP,PE,Loreto
AOR,MY,Kedah
AOS,US,
AOT,IT,Aosta Valley
AOU,LA,Attapu
APA,US,
APB,BO,La Paz
APC,US,California
APE,PE,
APF,US,Florida
APG,US,Maryland
APH,US,Virginia
API,CO,Meta
APJ,CN,Ngari Prefecture
APK,PF,
APL,MZ,Nampula
APN,US,Michigan
APO,CO,Antioquia
APP,PG,
APQ,BR,Alagoas
APR,PG,
APS,BR,Goias
APT,US,Tennessee
APU,BR,
APV,US,California
APW,WS,A'ana
APX,BR,Parana
APY,BR,Maranhao
APZ,AR,Neuquen
AQA,BR,Sao Paulo
AQB,GT,Quiche
AQG,CN,Anhui Sheng
AQI,SA,Eastern Province
AQJ,JO,Aqaba
AQM,BR,Rondonia
AQP,PE,Arequipa
AQS,FJ,
AQY,US,
ARA,US,Louisiana
ARB,US,Michigan
ARC,US,
ARD,ID,East Nusa Tenggara
ARE,PR,Arecibo
ARF,CO,
ARG,US,Arkansas
ARH,RU,Arkhangelskaya
ARI,CL,Arica y Parinacota
ARJ,ID,Papua
ARK,TZ,Arusha
ARL,BF,
ARM,AU,New South Wales
ARN,SE,Stockholm
ARO,CO,Antioquia
ARP,PG,
ARQ,CO,Arauca
ARR,AR,Chubut
ARS,BR,Goias
ART,US,New York
ARU,BR,Sao Paulo
ARV,US,Wisconsin
ARW,RO,Arad
ARX,US,New Jersey
ARY,AU,Victoria
ARZ,AO,
ASA,ER,
ASB,TM,Ahal
ASC,BO,
ASD,BS,
ASE,US,Colorado
ASF,RU,Astrakhan
ASG,NZ,Canterbury
ASH,US,New Hampshire
ASI,SH,
ASJ,JP,
ASK,CI,Lacs
ASL,US,Texas
ASM,ER,Maekel Region
ASN,US,Alabama
ASO,ET,
ASP,AU,
ASQ,US,
ASR,TR,Kayseri
ASS,ZA,
AST,US,Oregon
ASU,PY,Central
ASV,KE,Kajiado
ASW,EG,Aswan
ASX,US,Wisconsin
ASY,US,North Dakota
ASZ,PG,
ATA,PE,Ancash
ATB,SD,River Nile
ATC,BS,
ATD,SB,
ATE,US,Oklahoma
ATF,EC,Cotopaxi
ATG,PK,Khyber Pakhtunkhwa
ATH,GR,Attica
ATI,UY,Artigas
ATJ,MG,Vakinankaratra
ATK,US,
ATL,US,
ATM,BR,Para
ATN,PG,
ATO,US,Ohio
ATP,PG,
ATQ,IN,Punjab
ATR,MR,Adrar
ATS,US,New Mexico
ATT,US,
ATU,US,
ATV,TD,Batha
ATW,US,Wisconsin
ATX,KZ,Aqmola
ATY,US,South Dakota
ATZ,EG,Asyut
AUA,AW,
AUB,BR,Mato Grosso
AUC,CO,Arauca
AUD,AU,
AUE,EG,
AUF,FR,Bourgogne
AUG,US,Maine
AUH,AE,
AUI,PG,
AUJ,PG,
AUK,US,
AUL,MH,Aur Atoll
AUM,US,Minnesota
AUN,US,California
AUO,US,Alabama
AUP,PG,
AUQ,PF,
AUR,FR,Auvergne
AUS,US,Texas
AUT,ID,
AUU,AU,
AUV,PG,
AUW,US,Wisconsin
AUX,BR,Tocantins
AUY,VU,
AUZ,US,Illinois
AVA,CN,Guizhou Sheng
AVB,IT,Friuli Venezia Giulia
AVG,AU,
AVI,CU,Ciego de Avila
AVK,MN,OEvoerhangay
