humidity,recommendation
0,"Humedad extremadamente baja, es probable que el ambiente se sienta muy seco. Considera usar un humidificador."
5,"Humedad muy baja, el aire puede resecar tu piel y garganta."
10,"Humedad baja, es recomendable hidratarse y usar crema humectante."
15,"Ambiente seco, mantén la piel hidratada."
20,"Humedad baja, ideal para actividades al aire libre, pero hidrátate bien."
25,"Humedad moderadamente baja, es posible que necesites usar un humectante."
30,"Humedad cómoda, no se esperan molestias significativas."
35,"Humedad en un rango cómodo, ideal para cualquier actividad."
40,"Humedad ideal, se sentirá agradable para la mayoría de las personas."
45,"Humedad cómoda, el ambiente se sentirá fresco y agradable."
50,"Humedad moderada, la mayoría de las personas se sentirán cómodas."
55,"Humedad ligeramente alta, el aire puede empezar a sentirse un poco pegajoso."
60,"Humedad alta, es posible que empieces a notar incomodidad."
65,"Ambiente húmedo, es recomendable vestirse con ropa ligera."
70,"Humedad elevada, el aire se sentirá pesado y húmedo."
75,"Humedad muy alta, es posible que te sientas pegajoso y sudoroso."
80,"Humedad muy alta, el ambiente será sofocante. Toma precauciones para evitar la deshidratación."
85,"Humedad extremadamente alta, el aire estará cargado de humedad. Mantente fresco y evita actividades físicas intensas."
90,"Humedad opresiva, el sudor no se evaporará fácilmente. Evita el esfuerzo físico excesivo."
95,"Humedad cercana a la saturación, se sentirá sofocante. Considera quedarte en interiores con aire acondicionado."
100,"Humedad máxima, el aire está completamente saturado. Existe un alto riesgo de condensación y sensación extrema de calor."
