wind_speed,recommendation
0.0,"Viento calmado, ideal para cualquier actividad al aire libre."
0.3,"Brisa ligera, no será un problema para la mayoría de las actividades."
0.6,"Viento suave, perfecto para paseos relajantes."
0.9,"Ligera brisa, apenas notarás el viento."
1.2,"Viento suave, agradable para una caminata."
1.5,"Brisa suave, ideal para actividades al aire libre."
1.8,"Viento leve, suficiente para refrescarte."
2.1,"Brisa moderada, podrías necesitar una chaqueta ligera."
2.4,"Viento moderado, ideal para deportes al aire libre."
2.7,"Brisa moderada, ten en cuenta el viento si planeas estar afuera."
3.0,"Viento moderado, mantén el equilibrio si vas en bicicleta."
3.3,"Brisa fresca, podría despeinarte un poco."
3.6,"Viento fresco, ten cuidado si llevas objetos ligeros."
3.9,"Brisa fuerte, asegúrate de que nada salga volando."
4.2,"Viento fuerte, podría ser difícil mantener el equilibrio en bicicleta."
4.5,"Viento fuerte, ten cuidado si planeas estar al aire libre."
4.8,"Viento fuerte, asegúrate de estar bien abrigado."
5.1,"Viento fuerte, puede dificultar algunas actividades al aire libre."
5.4,"Viento fuerte, mantén tus pertenencias seguras."
5.7,"Viento fuerte, asegúrate de que nada se vuele."
6.0,"Viento fuerte, es mejor limitar las actividades al aire libre."
6.5,"Viento muy fuerte, podría ser incómodo estar afuera."
7.0,"Viento muy fuerte, evita estar al aire libre si es posible."
7.5,"Viento muy fuerte, las actividades al aire libre pueden ser difíciles."
8.0,"Viento muy fuerte, es posible que quieras evitar salir."
8.5,"Viento muy fuerte, limita el tiempo al aire libre."
9.0,"Viento muy fuerte, asegúrate de estar bien protegido."
10.0,"Viento fuerte, podría haber ramas u otros objetos volando."
20.0,"Viento peligroso, es mejor quedarse en interiores."
30.0,"Viento peligroso, sal solo si es necesario."
40.0,"Viento peligroso, pueden volar objetos grandes."
50.0,"Viento extremadamente peligroso, evita salir a menos que sea urgente."
70.0,"Viento extremadamente peligroso, es mejor refugiarse."
90.0,"Viento extremadamente peligroso, sal solo si es absolutamente necesario."
